OrderID,ProductName,Category,Quantity,Price,Revenue,OrderDate
ORD-100000,Non-stick Pan,Home & Kitchen,5,27.78,138.9,2024-10-08
ORD-100001,Wireless Earbuds,Electronics,2,148.94,297.88,2025-11-23
ORD-100002,Vacuum Cleaner,Home & Kitchen,4,73.0,292.0,2025-03-08
ORD-100003,Smartphone Case,Electronics,3,25.3,75.9,2025-06-01
ORD-100004,Vacuum Cleaner,Home & Kitchen,3,106.38,319.14,2025-03-05
ORD-100005,Non-stick Pan,Home & Kitchen,4,45.83,183.32,2024-06-12
ORD-100006,Denim Jeans,Clothing,1,53.59,53.59,2024-08-08
ORD-100007,Cotton T-Shirt,Clothing,1,10.59,10.59,2025-01-24
ORD-100008,Fitness Tracker,Sports,5,129.24,646.2,2024-09-27
ORD-100009,Sunscreen,Beauty,2,33.54,67.08,2024-05-07
ORD-100010,Hoodie,Clothing,1,73.06,73.06,2024-10-27
ORD-100011,Storage Container Set,Home & Kitchen,4,20.35,81.4,2025-08-14
ORD-100012,Smartphone Case,Electronics,6,32.18,193.08,2024-10-23
ORD-100013,Yoga Mat,Sports,4,22.07,88.28,2025-01-24
ORD-100014,Storage Container Set,Home & Kitchen,3,24.91,74.73,2024-06-15
ORD-100015,Bluetooth Speaker,Electronics,1,127.17,127.17,2025-12-19
ORD-100016,Vacuum Cleaner,Home & Kitchen,5,96.49,482.45,2025-10-12
ORD-100017,Moisturizer,Beauty,4,22.78,91.12,2025-04-18
ORD-100018,Fitness Tracker,Sports,3,125.95,377.85,2024-08-12
ORD-100019,Yoga Mat,Sports,2,44.13,88.26,2024-08-22
ORD-100020,Lipstick Set,Beauty,6,9.51,57.06,2024-10-01
ORD-100021,Fitness Tracker,Sports,2,70.02,140.04,2024-11-18
ORD-100022,Air Fryer,Home & Kitchen,5,99.02,495.1,2024-05-26
ORD-100023,Hoodie,Clothing,2,40.13,80.26,2025-07-05
ORD-100024,Vacuum Cleaner,Home & Kitchen,2,147.67,295.34,2025-02-12
ORD-100025,Dumbbell Set,Sports,4,90.33,361.32,2025-06-05
ORD-100026,Face Serum,Beauty,4,50.83,203.32,2024-06-05
ORD-100027,Lipstick Set,Beauty,3,8.72,26.16,2025-09-02
ORD-100028,Sneakers,Clothing,3,64.72,194.16,2025-06-25
ORD-100029,Non-stick Pan,Home & Kitchen,5,61.66,308.3,2025-11-27
ORD-100030,Sunscreen,Beauty,5,23.7,118.5,2024-09-30
ORD-100031,Running Jacket,Clothing,1,50.01,50.01,2025-03-21
ORD-100032,Bluetooth Speaker,Electronics,3,74.35,223.05,2025-05-27
ORD-100033,Non-stick Pan,Home & Kitchen,5,27.47,137.35,2025-10-02
ORD-100034,Vacuum Cleaner,Home & Kitchen,5,99.55,497.75,2024-07-22
ORD-100035,Sunscreen,Beauty,1,27.44,27.44,2025-06-27
ORD-100036,Air Fryer,Home & Kitchen,3,59.53,178.59,2024-01-20
ORD-100037,Running Jacket,Clothing,4,34.8,139.2,2024-09-02
ORD-100038,Yoga Mat,Sports,3,38.82,116.46,2024-03-28
ORD-100039,Sunscreen,Beauty,5,12.84,64.2,2024-05-08
ORD-100040,Vacuum Cleaner,Home & Kitchen,4,118.73,474.92,2024-06-18
ORD-100041,Football,Sports,6,34.37,206.22,2024-08-04
ORD-100042,Moisturizer,Beauty,4,26.03,104.12,2025-12-31
ORD-100043,Cycling Helmet,Sports,1,74.36,74.36,2025-03-24
ORD-100044,Denim Jeans,Clothing,3,20.68,62.04,2024-08-18
ORD-100045,Smartwatch,Electronics,3,211.08,633.24,2024-08-23
ORD-100046,Wireless Earbuds,Electronics,6,36.82,220.92,2024-08-22
ORD-100047,Bluetooth Speaker,Electronics,5,55.26,276.3,2024-03-13
ORD-100048,Sneakers,Clothing,5,85.44,427.2,2024-08-07
